"MEASURE","Measure","SEX_ABS","Sex","AGE","Age","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12002","Leichhardt","A","Annual","2019","2019",4217,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12003","Strathfield - Burwood - Ashfield","A","Annual","2019","2019",8552,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2019","2019",7638,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2019","2019",5491,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2019","2019",6009,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2019","2019",5627,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2019","2019",2794,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2019","2019",3298,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2019","2019",9775,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2019","2019",5596,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2019","2019",13129,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2019","2019",3111,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2019","2019",4164,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12402","Blue Mountains - South","A","Annual","2019","2019",0,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2019","2019",11711,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12404","Richmond - Windsor","A","Annual","2019","2019",2388,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12405","St Marys","A","Annual","2019","2019",4274,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12501","Auburn","A","Annual","2019","2019",7452,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12502","Carlingford","A","Annual","2019","2019",4678,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12503","Merrylands - Guildford","A","Annual","2019","2019",13162,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12504","Parramatta","A","Annual","2019","2019",12320,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12601","Pennant Hills - Epping","A","Annual","2019","2019",2662,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12602","Ryde - Hunters Hill","A","Annual","2019","2019",8579,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12701","Bringelly - Green Valley","A","Annual","2019","2019",10235,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12702","Fairfield","A","Annual","2019","2019",11461,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12703","Liverpool","A","Annual","2019","2019",10515,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12801","Cronulla - Miranda - Caringbah","A","Annual","2019","2019",6928,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12802","Sutherland - Menai - Heathcote","A","Annual","2019","2019",6936,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10102","Queanbeyan","A","Annual","2019","2019",4256,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10103","Snowy Mountains","A","Annual","2019","2019",951,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10104","South Coast","A","Annual","2019","2019",3248,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10105","Goulburn - Mulwaree","A","Annual","2019","2019",2121,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10106","Young - Yass","A","Annual","2019","2019",2241,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10301","Bathurst","A","Annual","2019","2019",3019,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10302","Lachlan Valley","A","Annual","2019","2019",3442,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10303","Lithgow - Mudgee","A","Annual","2019","2019",2798,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10304","Orange","A","Annual","2019","2019",4245,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10401","Clarence Valley","A","Annual","2019","2019",2599,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10402","Coffs Harbour","A","Annual","2019","2019",5007,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10501","Bourke - Cobar - Coonamble","A","Annual","2019","2019",1823,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10502","Broken Hill and Far West","A","Annual","2019","2019",1188,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10503","Dubbo","A","Annual","2019","2019",5161,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10601","Lower Hunter","A","Annual","2019","2019",6332,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10602","Maitland","A","Annual","2019","2019",5767,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10603","Port Stephens","A","Annual","2019","2019",3800,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10604","Upper Hunter","A","Annual","2019","2019",2048,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10701","Dapto - Port Kembla","A","Annual","2019","2019",5053,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10702","Illawarra Catchment Reserve","A","Annual","2019","2019",0,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10703","Kiama - Shellharbour","A","Annual","2019","2019",5806,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10704","Wollongong","A","Annual","2019","2019",7628,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10801","Great Lakes","A","Annual","2019","2019",1363,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10802","Kempsey - Nambucca","A","Annual","2019","2019",2691,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10803","Lord Howe Island","A","Annual","2019","2019",26,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10804","Port Macquarie","A","Annual","2019","2019",3999,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10805","Taree - Gloucester","A","Annual","2019","2019",2840,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10901","Albury","A","Annual","2019","2019",4284,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10902","Lower Murray","A","Annual","2019","2019",805,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10903","Upper Murray exc. Albury","A","Annual","2019","2019",2259,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11001","Armidale","A","Annual","2019","2019",2109,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11002","Inverell - Tenterfield","A","Annual","2019","2019",2212,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11003","Moree - Narrabri","A","Annual","2019","2019",1975,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11004","Tamworth - Gunnedah","A","Annual","2019","2019",5488,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11101","Lake Macquarie - East","A","Annual","2019","2019",7310,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11102","Lake Macquarie - West","A","Annual","2019","2019",5017,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11103","Newcastle","A","Annual","2019","2019",9917,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11201","Richmond Valley - Coastal","A","Annual","2019","2019",4315,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11202","Richmond Valley - Hinterland","A","Annual","2019","2019",3806,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11203","Tweed Valley","A","Annual","2019","2019",5051,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11301","Griffith - Murrumbidgee (West)","A","Annual","2019","2019",3421,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11302","Tumut - Tumbarumba","A","Annual","2019","2019",879,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11303","Wagga Wagga","A","Annual","2019","2019",6326,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11401","Shoalhaven","A","Annual","2019","2019",5627,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11402","Southern Highlands","A","Annual","2019","2019",2534,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","19797","Migratory - Offshore - Shipping (NSW)","A","Annual","2019","2019",0,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20601","Brunswick - Coburg","A","Annual","2019","2019",5083,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20602","Darebin - South","A","Annual","2019","2019",2997,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20603","Essendon","A","Annual","2019","2019",4247,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20604","Melbourne City","A","Annual","2019","2019",5069,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20605","Port Phillip","A","Annual","2019","2019",5367,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20606","Stonnington - West","A","Annual","2019","2019",2597,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20607","Yarra","A","Annual","2019","2019",4606,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20701","Boroondara","A","Annual","2019","2019",7846,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20702","Manningham - West","A","Annual","2019","2019",5010,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20703","Whitehorse - West","A","Annual","2019","2019",5264,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20801","Bayside","A","Annual","2019","2019",5152,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20802","Glen Eira","A","Annual","2019","2019",9265,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20803","Kingston","A","Annual","2019","2019",7707,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20804","Stonnington - East","A","Annual","2019","2019",2077,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20901","Banyule","A","Annual","2019","2019",8020,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20902","Darebin - North","A","Annual","2019","2019",6243,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20903","Nillumbik - Kinglake","A","Annual","2019","2019",3661,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20904","Whittlesea - Wallan","A","Annual","2019","2019",19753,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21001","Keilor","A","Annual","2019","2019",3475,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21002","Macedon Ranges","A","Annual","2019","2019",2100,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21003","Moreland - North","A","Annual","2019","2019",6512,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21004","Sunbury","A","Annual","2019","2019",2889,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21005","Tullamarine - Broadmeadows","A","Annual","2019","2019",16199,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21101","Knox","A","Annual","2019","2019",9451,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21102","Manningham - East","A","Annual","2019","2019",1130,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21103","Maroondah","A","Annual","2019","2019",7649,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21104","Whitehorse - East","A","Annual","2019","2019",3823,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21105","Yarra Ranges","A","Annual","2019","2019",9831,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21201","Cardinia","A","Annual","2019","2019",9144,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21202","Casey - North","A","Annual","2019","2019",9224,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21203","Casey - South","A","Annual","2019","2019",18741,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21204","Dandenong","A","Annual","2019","2019",13476,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21205","Monash","A","Annual","2019","2019",9020,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21301","Brimbank","A","Annual","2019","2019",13364,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21302","Hobsons Bay","A","Annual","2019","2019",6176,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21303","Maribyrnong","A","Annual","2019","2019",6071,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21304","Melton - Bacchus Marsh","A","Annual","2019","2019",14762,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21305","Wyndham","A","Annual","2019","2019",26436,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21401","Frankston","A","Annual","2019","2019",9489,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21402","Mornington Peninsula","A","Annual","2019","2019",8481,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20101","Ballarat","A","Annual","2019","2019",7092,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20102","Creswick - Daylesford - Ballan","A","Annual","2019","2019",1455,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20103","Maryborough - Pyrenees","A","Annual","2019","2019",1233,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20201","Bendigo","A","Annual","2019","2019",6399,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20202","Heathcote - Castlemaine - Kyneton","A","Annual","2019","2019",2533,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20203","Loddon - Elmore","A","Annual","2019","2019",566,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20301","Barwon - West","A","Annual","2019","2019",1338,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20302","Geelong","A","Annual","2019","2019",12761,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20303","Surf Coast - Bellarine Peninsula","A","Annual","2019","2019",4989,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20401","Upper Goulburn Valley","A","Annual","2019","2019",2904,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20402","Wangaratta - Benalla","A","Annual","2019","2019",2513,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20403","Wodonga - Alpine","A","Annual","2019","2019",4403,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20501","Baw Baw","A","Annual","2019","2019",3343,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20502","Gippsland - East","A","Annual","2019","2019",2433,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20503","Gippsland - South West","A","Annual","2019","2019",3500,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20504","Latrobe Valley","A","Annual","2019","2019",4583,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","20505","Wellington","A","Annual","2019","2019",2516,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21501","Grampians","A","Annual","2019","2019",3227,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21502","Mildura","A","Annual","2019","2019",3633,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21503","Murray River - Swan Hill","A","Annual","2019","2019",2207,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21601","Campaspe","A","Annual","2019","2019",2018,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21602","Moira","A","Annual","2019","2019",1609,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21603","Shepparton","A","Annual","2019","2019",4497,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21701","Glenelg - Southern Grampians","A","Annual","2019","2019",1920,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21703","Colac - Corangamite","A","Annual","2019","2019",2030,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","21704","Warrnambool","A","Annual","2019","2019",2984,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","29797","Migratory - Offshore - Shipping (Vic.)","A","Annual","2019","2019",0,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30101","Capalaba","A","Annual","2019","2019",4499,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30102","Cleveland - Stradbroke","A","Annual","2019","2019",4724,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30103","Wynnum - Manly","A","Annual","2019","2019",4955,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30201","Bald Hills - Everton Park","A","Annual","2019","2019",2865,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30202","Chermside","A","Annual","2019","2019",4787,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30203","Nundah","A","Annual","2019","2019",2769,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30204","Sandgate","A","Annual","2019","2019",4242,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30301","Carindale","A","Annual","2019","2019",3437,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30302","Holland Park - Yeronga","A","Annual","2019","2019",4469,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30303","Mt Gravatt","A","Annual","2019","2019",4757,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30304","Nathan","A","Annual","2019","2019",2737,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30305","Rocklea - Acacia Ridge","A","Annual","2019","2019",4963,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30306","Sunnybank","A","Annual","2019","2019",3391,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30401","Centenary","A","Annual","2019","2019",2061,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30402","Kenmore - Brookfield - Moggill","A","Annual","2019","2019",2466,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30403","Sherwood - Indooroopilly","A","Annual","2019","2019",2414,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30404","The Gap - Enoggera","A","Annual","2019","2019",3470,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30501","Brisbane Inner","A","Annual","2019","2019",2355,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30502","Brisbane Inner - East","A","Annual","2019","2019",2856,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30503","Brisbane Inner - North","A","Annual","2019","2019",4846,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","30504","Brisbane Inner - West","A","Annual","2019","2019",3125,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","31001","Forest Lake - Oxley","A","Annual","2019","2019",5985,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","31002","Ipswich Hinterland","A","Annual","2019","2019",3774,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","31003","Ipswich Inner","A","Annual","2019","2019",8350,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","31004","Springfield - Redbank","A","Annual","2019","2019",9441,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","31101","Beaudesert","A","Annual","2019","2019",848,,
