DATE_AS_AT,AGG_LEVEL,STATE,ABS_CODE,ABS_NAME,AGE_LOWER,AGE_UPPER,AIR_FIRST_DOSE_PCT,AIR_SECOND_DOSE_PCT,AIR_THIRD_DOSE_PCT,AIR_THIRD_DOSE_ELIGIBLE_PCT,AIR_FIRST_DOSE_APPROX_COUNT,AIR_SECOND_DOSE_APPROX_COUNT,AIR_THIRD_DOSE_APPROX_COUNT,ABS_ERP_2019_POPULATION,VALIDATED,URL
2021-08-27,ASGS_2016_SA3,NSW,10501,Bourke - Cobar - Coonamble,15,999,62.9,23.7,,,11716,4415,,18627,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12701,Bringelly - Green Valley,15,999,66.7,30.7,,,63458,29208,,95139,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10502,Broken Hill and Far West,15,999,61.7,37.9,,,10144,6231,,16441,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12301,Camden,15,999,66.5,35.6,,,36404,19489,,54743,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12302,Campbelltown (NSW),15,999,71.2,35.2,,,96054,47487,,134907,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12001,Canada Bay,15,999,65.3,38.6,,,50907,30092,,77959,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11902,Canterbury,15,999,65.6,28.9,,,77457,34124,,118075,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12502,Carlingford,15,999,74.2,38.7,,,44562,23242,,60056,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12101,Chatswood - Lane Cove,15,999,68.7,43.5,,,68976,43675,,100402,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10401,Clarence Valley,15,999,57.3,28,,,24476,11960,,42715,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10402,Coffs Harbour,15,999,57.8,29.6,,,42570,21800,,73650,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12801,Cronulla - Miranda - Caringbah,15,999,71.8,41.7,,,69609,40427,,96948,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10701,Dapto - Port Kembla,15,999,57.8,32.2,,,37241,20747,,64431,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10503,Dubbo,15,999,64.1,24.9,,,36936,14348,,57623,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11502,Dural - Wisemans Ferry,15,999,74.2,42.4,,,16732,9561,,22550,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11801,Eastern Suburbs - North,15,999,68,45.7,,,80041,53792,,117707,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12702,Fairfield,15,999,65.2,29.1,,,105231,46967,,161398,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10201,Gosford,15,999,68.3,38.4,,,98889,55598,,144786,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10105,Goulburn - Mulwaree,15,999,58.2,30.3,,,17790,9262,,30567,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10801,Great Lakes,15,999,65.8,33.7,,,18252,9348,,27738,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11301,Griffith - Murrumbidgee (West),15,999,57.2,33.5,,,22632,13255,,39566,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11503,Hawkesbury,15,999,64.3,32,,,13189,6564,,20511,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12102,Hornsby,15,999,74.5,45,,,51465,31086,,69080,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11903,Hurstville,15,999,65.8,33.1,,,76440,38452,,116170,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11002,Inverell - Tenterfield,15,999,56.6,24.4,,,17872,7705,,31576,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10802,Kempsey - Nambucca,15,999,57.8,29.1,,,23658,11911,,40931,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10703,Kiama - Shellharbour,15,999,63.6,36.1,,,49587,28146,,77967,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11904,Kogarah - Rockdale,15,999,60.8,29.5,,,79633,38638,,130975,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12103,Ku-ring-gai,15,999,79.4,53.3,,,81091,54435,,102130,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10302,Lachlan Valley,15,999,64,31.3,,,28769,14070,,44951,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11101,Lake Macquarie - East,15,999,63.8,34.8,,,64250,35046,,100706,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11102,Lake Macquarie - West,15,999,59.8,31.9,,,38694,20641,,64706,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12002,Leichhardt,15,999,73.5,47.8,,,36995,24059,,50333,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10303,Lithgow - Mudgee,15,999,54.8,27.7,,,21336,10785,,38935,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12703,Liverpool,15,999,64.4,32.4,,,66185,33298,,102771,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10601,Lower Hunter,15,999,51.9,24.7,,,38260,18209,,73719,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10902,Lower Murray,15,999,55,32,,,5639,3281,,10252,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10602,Maitland,15,999,57.5,29.3,,,36848,18776,,64083,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12201,Manly,15,999,72.7,44.5,,,27361,16748,,37636,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11702,Marrickville - Sydenham - Petersham,15,999,62.6,37.5,,,32483,19458,,51889,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12503,Merrylands - Guildford,15,999,60.9,26.3,,,79781,34454,,131003,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11003,Moree - Narrabri,15,999,51.2,25.9,,,10282,5201,,20082,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11603,Mount Druitt,15,999,64.7,28.5,,,58577,25803,,90536,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11103,Newcastle,15,999,59.2,33.2,,,85865,48154,,145043,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12104,North Sydney - Mosman,15,999,69.1,45.1,,,61260,39983,,88654,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10304,Orange,15,999,63.9,35.9,,,30112,16918,,47124,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12504,Parramatta,15,999,72.2,38.6,,,91008,48655,,126050,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12601,Pennant Hills - Epping,15,999,80.7,48.8,,,35323,21360,,43771,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12403,Penrith,15,999,68.4,31.9,,,82321,38393,,120353,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12202,Pittwater,15,999,77.2,44.4,,,40362,23213,,52282,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10804,Port Macquarie,15,999,67.1,37.4,,,46998,26195,,70041,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10603,Port Stephens,15,999,63.7,34.6,,,39381,21390,,61822,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10102,Queanbeyan,15,999,57.3,32.8,,,28661,16406,,50019,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12404,Richmond - Windsor,15,999,63.2,31.5,,,19426,9682,,30737,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11201,Richmond Valley - Coastal,15,999,55.9,33,,,39289,23194,,70285,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11202,Richmond Valley - Hinterland,15,999,52.4,27.5,,,30383,15945,,57982,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11504,Rouse Hill - McGraths Hill,15,999,83.9,44.3,,,27348,14440,,32596,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12602,Ryde - Hunters Hill,15,999,65.6,38.6,,,82941,48804,,126435,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11401,Shoalhaven,15,999,65.9,39.8,,,57812,34915,,87727,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10103,Snowy Mountains,15,999,61.2,33,,,10078,5434,,16467,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10104,South Coast,15,999,71.3,41,,,44076,25345,,61817,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11402,Southern Highlands,15,999,71.3,44.6,,,29982,18754,,42050,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12405,St Marys,15,999,65.7,26.5,,,29476,11889,,44864,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12003,Strathfield - Burwood - Ashfield,15,999,65.8,35.6,,,96232,52065,,146250,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,12802,Sutherland - Menai - Heathcote,15,999,74.2,43.5,,,66540,39009,,89676,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11703,Sydney Inner City,15,999,53,32,,,124638,75253,,235166,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,11004,Tamworth - Gunnedah,15,999,56.5,29.1,,,37598,19365,,66545,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,NSW,10805,Taree - Gloucester,15,999,60.3,33.2,,,27939,15383,,46334,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30201,Bald Hills - Everton Park,15,999,58.5,37.8,,,21353,13797,,36501,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,31101,Beaudesert,15,999,40.7,25.3,,,4836,3006,,11882,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,31102,Beenleigh,15,999,38.8,23.5,,,13596,8235,,35042,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30804,Biloela,15,999,40.1,22.6,,,4391,2475,,10950,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,31201,Bowen Basin - North,15,999,29.2,12.1,,,7557,3131,,25879,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,31301,Bribie - Beachmere,15,999,64.3,40.7,,,20207,12790,,31426,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30501,Brisbane Inner,15,999,53.6,35.2,,,40896,26857,,76299,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30502,Brisbane Inner - East,15,999,56.7,36.2,,,21312,13606,,37587,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30503,Brisbane Inner - North,15,999,54.5,35.8,,,46937,30832,,86123,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30504,Brisbane Inner - West,15,999,59.5,38.9,,,30863,20177,,51870,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30901,Broadbeach - Burleigh,15,999,51.9,33.8,,,29144,18980,,56154,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,31103,Browns Plains,15,999,36.9,21.2,,,24514,14084,,66433,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,31601,Buderim,15,999,53,35.3,,,25722,17132,,48532,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,31901,Bundaberg,15,999,52.6,32.2,,,39290,24052,,74696,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,31902,Burnett,15,999,46,24.3,,,18575,9812,,40380,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,31302,Caboolture,15,999,42.4,26.3,,,24710,15327,,58279,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,31303,Caboolture Hinterland,15,999,40.9,23.2,,,4892,2775,,11961,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30601,Cairns - North,15,999,56.5,38.2,,,25768,17422,,45607,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30602,Cairns - South,15,999,50.8,32.9,,,42930,27803,,84508,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,31602,Caloundra,15,999,58.1,39.4,,,43352,29399,,74617,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30101,Capalaba,15,999,52.6,30.5,,,32004,18558,,60845,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30301,Carindale,15,999,57.6,36.4,,,25854,16338,,44885,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30401,Centenary,15,999,63.2,40.6,,,17187,11041,,27195,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30801,Central Highlands (Qld),15,999,33.3,19.3,,,7361,4266,,22105,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,31801,Charters Towers - Ayr - Ingham,15,999,46,28.3,,,15775,9705,,34293,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30202,Chermside,15,999,57,35.6,,,34935,21819,,61290,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30102,Cleveland - Stradbroke,15,999,54.7,33.2,,,40702,24704,,74409,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30902,Coolangatta,15,999,50.6,31.3,,,24214,14978,,47853,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30702,Darling Downs - East,15,999,48.1,26.6,,,16224,8972,,33729,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
2021-08-27,ASGS_2016_SA3,QLD,30701,Darling Downs (West) - Maranoa,15,999,54.4,36,,,18996,12571,,34920,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-geographic-vaccination-rates-sa3-28-august-2021.pdf
