DATE_AS_AT,AGG_LEVEL,STATE,ABS_CODE,ABS_NAME,AGE_LOWER,AGE_UPPER,AIR_FIRST_DOSE_PCT,AIR_SECOND_DOSE_PCT,AIR_FIRST_DOSE_APPROX_COUNT,AIR_SECOND_DOSE_APPROX_COUNT,ABS_ERP_2019_POPULATION,MASKED,SA4_CODE_2016,SA3_CODE_2016,VALIDATED,URL
2021-08-27,ASGS_2020_LGA,NSW,10800,Bland (A),15,999,62.5,36,2983,1718,4773,N,103;113,10302;11301,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,10850,Blayney (A),15,999,63.5,32.9,3726,1930,5867,N,103,10304,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,10900,Blue Mountains (C),15,999,70.2,41.9,45478,27144,64784,N,124;103;115,12401;10303;11503;12402,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,10950,Bogan (A),15,999,,,,,2035,Y,105,10501,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11150,Bourke (A),15,999,,,,,1930,Y,105,10501,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11200,Brewarrina (A),15,999,,,,,1231,Y,105,10501,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11250,Broken Hill (C),15,999,57.2,34.7,8312,5043,14532,N,105,10502,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11300,Burwood (A),15,999,66,32.5,23522,11583,35639,N,120,12003,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11350,Byron (A),15,999,47.2,25.5,13713,7408,29052,N,112,11201;11202,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11400,Cabonne (A),15,999,61.3,31.7,6599,3413,10765,N,103;105,10304;10302;10503,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11450,Camden (A),15,999,69.5,36.5,53195,27937,76539,N,123;127,12301;12701;12302,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11500,Campbelltown (C) (NSW),15,999,71.5,35.3,95416,47107,133449,N,123;107,12302;12301;10704,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11520,Canada Bay (A),15,999,64.5,37.9,52069,30596,80727,N,120,12001;12003,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11570,Canterbury-Bankstown (A),15,999,66.2,30.3,199588,91352,301492,N,119;125;120,11901;11902;12503;12501;11903;12003,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11600,Carrathool (A),15,999,,,,,2195,Y,113;109,11301;10902,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11650,Central Coast (C) (NSW),15,999,65.2,35.5,182224,99217,279484,N,102,10201;10202,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11700,Central Darling (A),15,999,,,,,1451,Y,105,10502,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11720,Cessnock (C),15,999,50.1,23.3,23735,11038,47375,N,106,10601;10602,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11730,Clarence Valley (A),15,999,57.3,28,24612,12027,42953,N,104;112,10401;10402;11202,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11750,Cobar (A),15,999,,,,,3621,Y,105,10501,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,11800,Coffs Harbour (C),15,999,56.7,28.6,35545,17929,62689,N,104,10402;10401,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,12000,Coolamon (A),15,999,62.9,35.6,2187,1238,3477,N,113,11303,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,12150,Coonamble (A),15,999,,,,,3075,Y,105,10501;10503,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,12160,Cootamundra-Gundagai Regional (A),15,999,69.7,40.9,6403,3757,9187,N,113,11303,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,12350,Cowra (A),15,999,62.4,36.1,6525,3775,10456,N,103,10302;10304,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,12380,Cumberland (A),15,999,64.6,28.4,124377,54680,192534,N,125;116,12501;11601;12503;12504,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,12390,Dubbo Regional (A),15,999,64.5,25.8,27216,10886,42195,N,105;103,10503;10304;10303,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,12700,Dungog (A),15,999,62.8,32.3,4787,2462,7623,N,106,10601,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,12730,Edward River (A),15,999,41.7,26.4,3097,1960,7426,N,109,10903,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,12750,Eurobodalla (A),15,999,72.2,40.7,23747,13387,32891,N,101,10104,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,12850,Fairfield (C),15,999,64.8,28.9,111538,49744,172126,N,127;125,12702;12503,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,12870,Federation (A),15,999,66.5,32.2,6866,3325,10325,N,109;113,10903;11301,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,12900,Forbes (A),15,999,61,31.6,4798,2485,7865,N,103,10302,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,12930,Georges River (A),15,999,65,33,86969,44153,133798,N,119,11903;11904;11902,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,12950,Gilgandra (A),15,999,69.8,19.2,2336,642,3346,N,105,10503,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,13010,Glen Innes Severn (A),15,999,62,26,4563,1913,7359,N,110,11002,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,13310,Goulburn Mulwaree (A),15,999,57.2,30.4,14526,7720,25395,N,101,10105;10102,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,13340,Greater Hume Shire (A),15,999,57.2,27.7,4838,2343,8458,N,109;113,10901;10903;11302;11303,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,13450,Griffith (C),15,999,57.7,35.1,12412,7551,21512,N,113,11301,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,13550,Gunnedah (A),15,999,52.8,26.5,5253,2636,9949,N,110,11004;11003,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,13660,Gwydir (A),15,999,56.4,27.8,2429,1197,4307,N,110,11002;11003;11004,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,13800,Hawkesbury (C),15,999,65.6,32.7,35471,17681,54071,N,115;124;116,11503;11504;12404;12401;11502;11602,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,13850,Hay (A),15,999,73,40.5,1768,981,2422,N,109,10902,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,13910,Hilltops (A),15,999,65.4,36.6,9785,5476,14962,N,101,10106,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14000,Hornsby (A),15,999,76.9,48.1,94017,58807,122259,N,121;115;126,12102;11501;11502;12601,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14100,Hunters Hill (A),15,999,71.5,48.3,8715,5887,12189,N,126,12602,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14170,Inner West (A),15,999,65.5,40.2,112165,68840,171244,N,120;117,12003;12002;11702;11703;11701,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14220,Inverell (A),15,999,54.2,24.9,7292,3350,13454,N,110,11002,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14300,Junee (A),15,999,51.3,28.4,2832,1568,5520,N,113,11303,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14350,Kempsey (A),15,999,56.2,27.9,13735,6819,24440,N,108,10802,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14400,Kiama (A),15,999,71.8,44.3,13903,8578,19363,N,107;114,10703;11401;11402,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14500,Ku-ring-gai (A),15,999,79.4,53.3,80884,54296,101869,N,121,12103;12102,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14550,Kyogle (A),15,999,56,26.1,4080,1901,7285,N,112,11202,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14600,Lachlan (A),15,999,70.3,31,3282,1447,4668,N,103;105,10302;10501,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14650,Lake Macquarie (C),15,999,62.3,33.7,104070,56295,167047,N,111;102,11101;11102;11103;10202,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14700,Lane Cove (A),15,999,71.7,45.8,23506,15015,32784,N,121,12101,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14750,Leeton (A),15,999,54.9,31.9,4954,2879,9024,N,113,11301,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14850,Lismore (C),15,999,51.6,27.4,18520,9834,35892,N,112,11202;11201,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14870,Lithgow (C),15,999,58.3,29,10415,5181,17865,N,103,10303;10301,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14900,Liverpool (C),15,999,63.9,30.5,112704,53795,176376,N,127;123;124,12701;12703;12702;12302;12403,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14920,Liverpool Plains (A),15,999,54.1,23.4,3460,1497,6396,N,110;106,11004;10604,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,14950,Lockhart (A),15,999,64.5,37.8,1667,977,2585,N,113;109,11303;10903;10901,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15050,Maitland (C),15,999,57.1,29.1,38079,19406,66688,N,106;111,10602;11103;10601,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15240,Mid-Coast (A),15,999,63.3,34,50147,26935,79221,N,108;106,10805;10801;10603;10804,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15270,Mid-Western Regional (A),15,999,51.3,26.8,10241,5350,19963,N,103;105,10303;10503,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15300,Moree Plains (A),15,999,52.7,29.5,5384,3014,10216,N,110,11003,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15350,Mosman (A),15,999,74.9,49.9,19177,12776,25604,N,121,12104,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15520,Murray River (A),15,999,79.1,49.8,7839,4935,9910,N,109,10903;10902,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15560,Murrumbidgee (A),15,999,55.7,29.4,1734,916,3114,N,109;113,10903;11301,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15650,Muswellbrook (A),15,999,47.1,21.7,5969,2750,12673,N,106,10604,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15700,Nambucca (A),15,999,60.2,30.9,9924,5094,16485,N,104;108,10402;10802,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15750,Narrabri (A),15,999,50.4,22.1,5147,2257,10213,N,110,11003;11004,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15800,Narrandera (A),15,999,57.1,32.5,2656,1512,4651,N,113,11301,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15850,Narromine (A),15,999,68.8,21.8,3504,1110,5093,N,105,10503,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15900,Newcastle (C),15,999,58.8,32.8,80822,45084,137452,N,111,11103;11102;11101,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15950,North Sydney (A),15,999,66.1,42.6,43179,27828,65324,N,121,12104;12101,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,15990,Northern Beaches (A),15,999,71.3,40.6,157740,89821,221234,N,122,12201;12202;12203,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,16100,Oberon (A),15,999,61.8,29.6,2764,1324,4472,N,103;124,10301;12402,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,16150,Orange (C),15,999,65,37.3,21561,12372,33170,N,103,10304,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,16200,Parkes (A),15,999,64.5,24.8,7601,2923,11785,N,103,10302,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,16260,Parramatta (C),15,999,71.9,37.5,150582,78537,209432,N,125;126;116,12501;12504;12502;12503;12601;12602;11601,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,16350,Penrith (C),15,999,67,30.1,112163,50390,167408,N,124;127,12403;12404;12405;12702,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,16380,Port Macquarie-Hastings (A),15,999,67,37.4,46996,26233,70143,N,108,10804;10805,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,16400,Port Stephens (A),15,999,63.2,34.7,38113,20926,60306,N,106;111,10603;11103,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,16490,Queanbeyan-Palerang Regional (A),15,999,57.5,32.9,28086,16070,48845,N,101,10102;10105,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,16550,Randwick (C),15,999,59.3,36,79093,48016,133377,N,118;117,11802;11801;11701,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,16610,Richmond Valley (A),15,999,54.1,30.3,10245,5738,18938,N,112;104,11202;11201;10401,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,16700,Ryde (C),15,999,65.1,37.8,71702,41633,110141,N,126;121,12602;12101,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,16900,Shellharbour (C),15,999,60.8,33.3,35699,19552,58715,N,107,10703,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,16950,Shoalhaven (C),15,999,66,39.9,57899,35002,87725,N,114;101;107,11401;10104;10703,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,17000,Singleton (A),15,999,52.7,25.4,9662,4657,18334,N,106;103,10601;10303,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,17040,Snowy Monaro Regional (A),15,999,60.7,32.8,10449,5646,17214,N,101;113,10103;10104;10102;11302,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,17080,Snowy Valleys (A),15,999,58.1,32.2,6813,3776,11726,N,113;101,11302;10106,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,17100,Strathfield (A),15,999,67.8,35.3,27132,14126,40017,N,119;120,11901;12003;11902,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,17150,Sutherland Shire (A),15,999,73,42.6,136523,79670,187018,N,128;127;107;123,12801;12802;12703;10704;12302,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,17200,Sydney (C),15,999,52.9,31.9,121172,73070,229059,N,117;118;120,11703;11801;11702;12002,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,17310,Tamworth Regional (A),15,999,57.4,30.3,28498,15043,49648,N,110,11004;11002;11001,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,17350,Temora (A),15,999,61.5,28.8,3133,1467,5095,N,113,11303,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
