id,orgId,orgName,contactPhone,contactWebsite,characteristic,appointments,offerings,billingOptions,booking,addressLine1,addressLine2,addressLine3,postcode,suburb,state,lat,lon,updatedTime,dateAsAt
00a338af-9882-41a2-ba1f-ab4b06fe4491,7e9b587b-d285-4a2f-8d47-cd5bd138aa79,Port Melbourne Vaccination Clinic,03 7033 1888,,GP Respiratory Clinic,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",No Fee,HotDoc,"Port Melbourne Football Club (Enter via Ingles Street),  ",,541 Williamstown Road,3207,PORT MELBOURNE,VIC,-37.8315246,144.9397988,2021-06-23T07:00:03Z,2021-07-27
00b1fa7b-974f-45cc-dd12-6edbc0812008,416f4128-0c86-4327-2a15-ad49f65b1d70,QualityCare Family Doctors,0287410888,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Commonwealth Booking Platform,,SE C1B,1 - 17 Elsie St,2134,BURWOOD,NSW,-33.875433,151.102696,2021-06-28T23:15:32Z,2021-07-27
00b3f398-25f7-4a64-8ba9-c581d4353053,7a03c0f3-d0ca-44be-1b22-e38f6a2e124c,Good Shepherd Medical Centre,0395708855,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,HotDoc,,,1080 North Rd,3165,BENTLEIGH EAST,VIC,-37.909055,145.079524,2021-06-28T23:15:32Z,2021-07-27
00b5e5d3-4046-4694-e7d8-72ccfc9e4fe9,ed2cbf88-5952-46eb-fe3b-501a54d3fb03,Medical Professionals Dapto,0242880511,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,HotDoc,,UNIT 2,20 - 30 Princes Hwy,2530,DAPTO,NSW,-34.491433,150.79589,2021-06-28T23:15:32Z,2021-07-27
00b6e1e9-e3b1-4209-fd37-72730d5e3c99,b710511c-c1aa-4d2f-e85f-41305501dd14,Treendale Medical Group,0897421188,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,HotDoc,,UNIT 3,38 The Promenade,6233,AUSTRALIND,WA,-33.282045,115.743086,2021-06-28T23:15:32Z,2021-07-27
00bac857-2e14-4f45-1c5d-760a593b5829,2db26011-77cd-4636-a5aa-d617b4a89eb7,Health Hub Family GP,0883762957,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,4 Waterloo St,5045,GLENELG,SA,-34.979781,138.516096,2021-06-28T23:15:32Z,2021-07-27
00c19e15-3730-4425-ae10-2894df4281ff,e0600030-1dd0-48ae-3032-c8a0fd222923,Chemist Warehouse The Grove Liverpool,0296013388,,Pharmacy,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",No Fee,Unknown,,Unit 3-6,18 Orange Grove Rd,2170,LIVERPOOL,NSW,-33.90831,150.919313,2021-07-21T01:01:49Z,2021-07-27
00c86fe9-e1b8-457b-5521-dbc575089785,5df232e3-2d2a-426a-a4df-ab3f48cb989f,Greenway Medical Hub,0297561567,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Health Engine,,Unit 101,1183 - 1187 The Horsley Drive,2164,WETHERILL PARK,NSW,-33.850064,150.897856,2021-07-09T01:28:31Z,2021-07-27
00cc5950-41de-4894-dd0e-895ebef0917a,63e354a1-8661-411f-5a40-f9f733cd4678,Harbour Road Medical,0749532566,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,47 Harbour Rd,4740,NORTH MACKAY,QLD,-21.123125,149.192787,2021-06-28T23:15:32Z,2021-07-27
00cd5757-2d1a-42b7-7547-df5dc2e5b315,d39342d8-e24e-4b72-6129-3f26a7725843,Gungahlin General Practice,02 6241 0888,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,HotDoc,,Unit 129,129 Hinder St,2912,GUNGAHLIN,ACT,-35.185524,149.1371,2021-06-28T23:15:32Z,2021-07-27
00d62148-654a-49a4-caf0-e8336c5fd8e5,89baf356-b6ec-45c4-c7e2-580a66edbb9a,Coober Pedy TAFE (Eyre and Far North Local Health Network),1800253787,https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/conditions/infectious+diseases/covid-19/vaccine/covid-19+vaccinations,State-based Regional/Community Clinic,Yes,COVID-19 Vaccine - AstraZeneca,No Fee,Commonwealth Booking Platform,Coober Pedy TAFE,,Hutchinson St,5723,COOBER PEDY,SA,-29.011547,134.754478,2021-06-21T04:19:32Z,2021-07-27
00e1da8a-5b34-4736-9127-9efb4f030afb,7cee34fd-7a6a-4888-f8d9-d091103ceaba,Central West Medical Centre,0396874400,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,SHOP P1,67 Ashley St,3019,BRAYBROOK,VIC,-37.793742,144.862791,2021-06-28T23:15:32Z,2021-07-27
00e3d1ae-d518-46f0-d6f8-4aa067ac3be1,2533a1ff-9b9b-4371-f1cf-4c05f8b3f060,Frontline Medical Centre,0298909778,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,Unknown,,,58 Ross St,2151,NORTH PARRAMATTA,NSW,-33.807999,151.009949,2021-07-20T05:42:14Z,2021-07-27
00e4cbd0-3f66-44a3-cbf3-cbc501c442e1,32fd6e19-cd82-446a-c51f-fd09a389f0e6,Kings Park Clinic,08 8271 0303,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Healthsite,,,309 Goodwood Rd,5034,KINGS PARK,SA,-34.96413614,138.59117197,2021-06-28T23:15:32Z,2021-07-27
00f3715e-1665-42be-bd54-0500972d8987,8e08f39c-153c-4f3c-e110-587201a9df24,Harp Family Medical,0398597711,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,Unknown,,,623 High St,3102,KEW EAST,VIC,-37.798852,145.051128,2021-07-09T08:20:25Z,2021-07-27
00f46a7b-a40c-4756-6beb-5ba5abe199d2,c89c7267-d980-40d2-d21d-8eb7767cd4ff,Family Practice at Burpengary,0738889500,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,Unknown,,,179 Station Rd,4505,BURPENGARY,QLD,-27.154986,152.96702,2021-07-07T04:07:25Z,2021-07-27
00fa423b-8bde-4b43-4b53-0dda36c94988,f51cda75-d514-4c96-2f0f-a0ca65360d1b,Myhealth Airport West,03 9338 3121,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,Westfield Shopping Centre Airport West,Level 7 Shop 1,29 - 35 Louis St,3042,AIRPORT WEST,VIC,-37.71387379,144.88594178,2021-06-28T23:15:32Z,2021-07-27
00fa471c-1f81-479f-4e07-b7891c33b25d,41b693ba-bc3f-41b4-6b98-4afa4b246b8f,Albury Wodonga Family Medical Clinic,0260243588,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,7 Elgin Bvd,3690,WODONGA,VIC,-36.121515,146.889472,2021-06-28T23:15:32Z,2021-07-27
00ff2aa0-0c4f-4050-848b-bcc87ad0bb9d,813b3443-daba-42ff-1307-cff8abf80e44,Lindisfarne Medical Group,08 9272 2455,http://lindisfarnemedicalgroup.com.au/,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,697 Beaufort St,6050,MOUNT LAWLEY,WA,-31.93209,115.873721,2021-06-28T23:15:32Z,2021-07-27
0107e9d6-0974-49a9-6a05-c63e5a6b325e,0fdf626e-3cef-4b69-0796-daab133ec77f,Myhealth Palm Beach,07 5525 7455,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,7 Palm Beach Ave,4221,PALM BEACH,QLD,-28.120918,153.471829,2021-06-28T23:15:32Z,2021-07-27
010dcc51-2c4f-4a2a-b99c-76d3ae329123,65e24dd0-a9ec-4816-d5b2-faef592eaab8,Albemarle medical Practice,0293716000,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,AutoMed,,,482 Old South Head Rd,2029,ROSE BAY,NSW,-33.875347,151.272011,2021-07-26T22:21:38Z,2021-07-27
0112abeb-bb88-4f51-057f-7bb81c8f8914,6e4b80ed-30be-40a5-6645-7004ba31307d,Ararat Medical Centre,0353522311,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,Unknown,Ararat Medical Centre,,55 High St,3377,ARARAT,VIC,-37.282412,142.928675,2021-07-01T23:38:57Z,2021-07-27
01178986-4ac0-4577-5162-819e8aec8004,78b4b30a-b690-4834-f7d8-e6181b33b542,Yarrawonga Medical Clinic,0357443115,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,Unknown,,,29 Hume St,3730,YARRAWONGA,VIC,-36.011624,146.005553,2021-07-01T23:39:05Z,2021-07-27
012442bf-76b8-4ad9-31ac-e2bd64b908a0,80653f8b-ca90-4759-4e7c-f8e5ac9e25e6,Waterford West Medical Centre,0732006692,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,HotDoc,,Shop 2,26 - 28 Loganlea Rd,4133,WATERFORD WEST,QLD,-27.68956,153.136317,2021-06-28T23:15:32Z,2021-07-27
01263018-fe64-4aad-8927-e558a5b8be60,a7f485dc-6ced-4368-f50c-bb40b056b02a,Collie Medical Group,0897341233,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,17 Johnston St,6225,COLLIE,WA,-33.3586,116.15592,2021-06-28T23:15:32Z,2021-07-27
0131f03d-66a7-43a7-a2c6-457b74a7e12b,619347b9-6d27-4595-35f6-fc80e4d3ea6e,CHC Medical,0266522448,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,HotDoc,,,343 - 345 Pacific Hwy,2450,COFFS HARBOUR,NSW,-30.316088,153.093088,2021-06-28T23:15:32Z,2021-07-27
0134dc94-0f9e-446e-ac8d-486cb1c50f0b,0d51c519-baf3-4858-091d-9f51434bc801,Mends Street Family Practice,0893672600,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,Unknown,,,11 Mends St,6151,SOUTH PERTH,WA,-31.972472,115.852135,2021-07-07T02:13:44Z,2021-07-27
013cb343-628c-46fc-bf1a-4f4d2a006ccc,66ccc2db-548b-4de0-b26a-e7f1ff3c8226,Hornsby Fountain Medical Centre,0299871007,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,HotDoc,,SE 4,21 Hunter St,2077,HORNSBY,NSW,-33.703499,151.10023,2021-06-28T23:15:32Z,2021-07-27
0145775a-f355-4bb1-a948-0473f1054b61,400aa84a-9deb-4b67-e382-9cd44c6f99d5,UMC Caboolture,07 5432 3474,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,Central Lakes Shopping Centre,Shop 14,Mckean St,4510,CABOOLTURE,QLD,-27.078431,152.962387,2021-06-28T23:15:32Z,2021-07-27
01467177-80fd-4148-56e0-5a1805ba5aac,799e2715-6130-4cfe-d48f-d21ac1428eb0,Prohealth Family Medical Centre,03 5995 2233,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,HotDoc,,R17,1 Linsell Bvd,3977,CRANBOURNE EAST,VIC,-38.09983875,145.29445129,2021-06-28T23:15:32Z,2021-07-27
01467751-2864-4381-c25b-aec9e82fa1e7,5687f223-ec6e-48c9-0830-371b338ada59,Ashben Medical Centre,0755645018,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,HotDoc,,,335 Ashmore Rd,4217,BENOWA,QLD,-28.000406,153.383613,2021-06-28T23:15:32Z,2021-07-27
01503a68-cad2-402f-04af-6399ad433b8d,72dcf41b-0a05-492a-5014-5c392d9d9a30,Alstonville Clinic,02 6628 0950,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,61 Main St,2477,ALSTONVILLE,NSW,-28.84042711,153.43816301,2021-06-28T23:15:32Z,2021-07-27
0155170a-34a1-477e-8fa5-bed321869908,a9dff9e7-178d-4832-d2c4-a74255658898,Warrandyte Road Clinic,0398709000,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,Unknown,,,44 Warrandyte Rd,3134,RINGWOOD,VIC,-37.809156,145.231032,2021-07-09T08:22:44Z,2021-07-27
015ee002-580d-478e-7c87-1da8cef5e073,cfb6989b-4618-4bd7-3f66-07558885fdbb,Warrnambool Medical Clinic -Target Branch,0355622766,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,HotDoc,,,154 Koroit St,3280,WARRNAMBOOL,VIC,-38.382548,142.482837,2021-06-28T23:15:32Z,2021-07-27
0168a311-1ee5-4313-7fc8-7c248d24158e,be71c8e4-defa-46c0-962c-577fbcd354ee,North Fawkner Family Clinic,0393571995,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Commonwealth Booking Platform,,,88 Anderson Rd,3060,FAWKNER,VIC,-37.695531,144.968589,2021-06-28T23:15:32Z,2021-07-27
0169a117-0a21-4d36-1700-d22291193729,2e22b61b-3ae7-4013-9d15-9cae307866b9,Ocean Shores Medical Centre,02 6680 1580,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,HotDoc,Ocean Village shopping Centre,,72 Rajah Rd,2483,OCEAN SHORES,NSW,-28.52541,153.545883,2021-06-28T23:15:32Z,2021-07-27
0190b735-95d7-49b2-756c-f96c7621fb4c,b37af973-d52c-4b21-0720-a6108bddd0ab,Peninsula Family Medical Practice,0352562001,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,140 Shell Rd,3226,OCEAN GROVE,VIC,-38.259351,144.547359,2021-06-28T23:15:32Z,2021-07-27
0190bc1a-0620-4c29-c084-ce9be2ee5ad6,d34afe07-29fa-41a1-25ed-ca00a7cd39c9,Crafter Medical Centre,08 8272 5533,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,140 Belair Rd,5062,HAWTHORN,SA,-34.9717118,138.60881413,2021-06-28T23:15:32Z,2021-07-27
019e679a-05a5-46ff-8274-5cd9706d5e47,4ff3a71c-badb-49ce-320c-990b1da40571,Bombala Medical Centre,0264583022,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,130 Wellington St,2632,BOMBALA,NSW,-36.917623,149.235876,2021-06-28T23:15:32Z,2021-07-27
01b6d625-ddb6-4c45-a71b-1f693aa9e40e,a50b18a2-9fc3-48a7-9de3-ce46e4e7747b,Rochester's Pharmacy,0297244383,,Pharmacy,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",No Fee,Unknown,,,8 Villawood Pl,2163,VILLAWOOD,NSW,-33.883035,150.976152,2021-07-21T01:02:06Z,2021-07-27
01b8c66f-af33-4ac6-8170-775c6fddceb9,7267ba95-35b6-47c5-6138-e6b85b162e79,kellyville medical centre,0285980478,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,Health Engine,,,17 Windsor Rd,2155,KELLYVILLE,NSW,-33.713099,150.959358,2021-07-15T06:48:19Z,2021-07-27
01cd47b2-937b-4198-1c76-e1a309c6f2b5,74f45118-da3c-41cc-da23-220b516a9136,Medeco Medical Centre Inala,0737149093,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,Inala Plaza,Shop 55B,156 Inala Ave,4077,INALA,QLD,-27.598026,152.974264,2021-06-28T23:15:32Z,2021-07-27
01dbf718-034a-4fe4-287e-440f031255b0,106dffc2-bfeb-4f79-0510-1505e330c6fc,Carrum Downs Doctors,0397079800,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,HotDoc,,Suite 6,335 Ballarto Rd,3201,CARRUM DOWNS,VIC,-38.116609,145.19367,2021-07-19T00:15:50Z,2021-07-27
01dee568-c004-4688-9a0c-f1013c3b61f6,4d7a90ec-b0ca-47ea-d24d-73a7cd0491c4,Bennetts Road Family Practice,0731610018,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Health Engine,,,154 Bennetts Rd,4170,NORMAN PARK,QLD,-27.484557,153.063346,2021-07-09T01:28:31Z,2021-07-27
01e0d3b9-7ebf-4e2d-0c99-9ff475646e3b,8a872016-a1a9-405b-9e8b-d148b8d85d8c,Hazelbrook General Practice,0247586210,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Healthsite,,,9 Rosedale Ave,2779,HAZELBROOK,NSW,-33.721733,150.454002,2021-06-28T23:15:32Z,2021-07-27
01ea96cf-1f2d-4bdb-4eed-54c33a7809e1,a6db220d-bf41-42bd-e66f-f666b2eb1d63,Double Bay Doctors,02 9328 3100,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,AutoMed,,Ground Floor,422 New South Head Rd,2028,DOUBLE BAY,NSW,-33.87689115,151.24485424,2021-06-28T23:15:32Z,2021-07-27
01f557ec-acd8-42ac-287a-5e920282c522,33e1123b-39c5-4d71-353b-62b321a2ef04,Concept Medical SA,0871236424,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,Unknown,,Shop 3,6 - 14 Metro Pde,5095,MAWSON LAKES,SA,-34.806665,138.616288,2021-07-09T08:19:42Z,2021-07-27
01fc2e9b-ffc7-453a-3b07-65747bbd22e2,8c5c0ffd-d35e-42f8-dd88-a954dd93aa29,Ormiston Medical Centre,0732865333,https://appointuit.com/sites/ormiston_medical_centre#appointment,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,Ormiston Medical Centre,,30 Sturgeon St,4160,ORMISTON,QLD,-27.512449,153.256331,2021-06-28T23:15:32Z,2021-07-27
0205eed1-fcec-4e93-2181-70e95b5899a3,1a003d27-3693-4b62-d217-b40745d96264,Top End Medical Centre in Rosebery,0889976500,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Healthsite,,Level 1,164 Forrest Pde,0832,ROSEBERY,NT,-12.508689,130.990032,2021-06-28T23:15:32Z,2021-07-27
0206ecd8-e828-48b5-b9ba-c5e85f4dba3d,89b02b5d-9180-45b4-da00-fa35b87e742f,Geebung Medical Clinic,07 3265 6922,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,HotDoc,,Shop 3,328 Newman Rd,4034,GEEBUNG,QLD,-27.370256760362203,153.04726302819887,2021-06-28T23:15:32Z,2021-07-27
020bd14d-1fc7-4f14-7018-1f7fb01ff868,6f032889-a390-480f-9f33-d44b8bc9469d,Norwest General Practice,0288244716,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,UNIT 5,1 Celebration Dr,2153,BELLA VISTA,NSW,-33.732918,150.944592,2021-06-28T23:15:32Z,2021-07-27
021d5d5c-d4fc-44d9-4728-337925941e6a,6f18adad-1b7b-4b3b-3dee-e8420c1cd16f,Hyperdome Medical Centre - Greenway,0262933233,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,South:Point Tuggeranong,Shop 76,Anketell St,2900,GREENWAY,ACT,-35.412937,149.06543,2021-06-28T23:15:32Z,2021-07-27
